PLAYER_ID,date,team_poss,overall_def_D_FGM,overall_def_D_FGA,overall_def_D_FG_PCT,overall_def_NORMAL_FG_PCT,overall_def_PCT_PLUSMINUS,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
201599,20160307,99.0,8.0,19.0,0.421,0.473,-0.052,13250.0,2.5,1.2,1.3,3.94,4.12,3.78
202326,20160307,111.0,8.0,25.0,0.32,0.449,-0.129,13158.0,2.5,1.3,1.2,3.67,3.8,3.55
101114,20160307,100.0,8.0,12.0,0.667,0.453,0.213,9816.0,1.9,1.1,0.8,4.26,4.47,4.01
201565,20160307,94.0,3.0,7.0,0.429,0.421,0.008,14001.0,2.7,1.4,1.3,4.16,4.62,3.77
2734,20160307,100.0,2.0,2.0,1.0,0.438,0.562,5356.0,1.0,0.6,0.5,3.94,4.81,3.88
203473,20160307,110.0,0.0,3.0,0.0,0.431,-0.431,3473.0,0.7,0.3,0.3,4.7,4.33,3.77
1717,20160307,100.0,5.0,13.0,0.385,0.453,-0.068,9633.0,1.8,1.0,0.8,3.85,4.05,3.62
203926,20160307,94.0,1.0,3.0,0.333,0.439,-0.106,4854.0,0.9,0.5,0.4,4.16,4.98,3.45
203110,20160307,111.0,7.0,21.0,0.333,0.448,-0.115,12646.0,2.4,1.2,1.2,4.14,4.33,3.97
203939,20160307,100.0,0.0,1.0,0.0,0.438,-0.438,2315.0,0.4,0.2,0.2,4.06,5.12,3.37
202734,20160307,94.0,5.0,16.0,0.313,0.454,-0.142,13684.0,2.6,1.4,1.2,4.35,4.86,3.89
203901,20160307,110.0,5.0,9.0,0.556,0.497,0.058,9598.0,1.8,0.9,0.9,4.62,4.28,5.03
101141,20160307,110.0,1.0,6.0,0.167,0.478,-0.312,5942.0,1.1,0.6,0.5,4.52,4.84,4.17
203095,20160307,110.0,8.0,15.0,0.533,0.467,0.067,14484.0,2.7,1.5,1.2,4.64,4.9,4.34
1626163,20160307,101.0,1.0,3.0,0.333,0.457,-0.124,7497.0,1.4,0.8,0.6,4.63,5.1,4.14
201588,20160307,94.0,4.0,9.0,0.444,0.461,-0.016,12653.0,2.4,1.3,1.1,4.12,4.58,3.67
203507,20160307,95.0,7.0,13.0,0.538,0.439,0.1,12984.0,2.5,1.3,1.1,4.09,3.93,3.91
203476,20160307,99.0,9.0,15.0,0.6,0.452,0.148,11310.0,2.1,1.1,1.0,4.01,4.11,3.9
202328,20160307,95.0,5.0,11.0,0.455,0.451,0.003,10078.0,1.9,1.0,0.9,3.93,4.02,3.84
202962,20160307,99.0,1.0,1.0,1.0,0.488,0.512,993.0,0.2,0.1,0.1,4.19,4.54,3.88
203084,20160307,111.0,4.0,9.0,0.444,0.455,-0.011,13240.0,2.5,1.4,1.2,4.8,5.36,4.62
203546,20160307,111.0,0.0,1.0,0.0,0.437,-0.437,2351.0,0.4,0.2,0.2,4.66,4.54,4.79
101133,20160307,94.0,7.0,17.0,0.412,0.484,-0.072,10640.0,2.0,1.0,1.0,3.86,4.1,3.65
